Card Name,Card Page Link,Apply Link,Image URL,Card Type,Joining Fee,Annual Fee,Best For,USP
HDFC Bank INFINIA Metal Credit Card,https://cardinsider.com/hdfc-bank/hdfc-bank-infinia-credit-card/,https://cardinsider.com/go/hdfcbank,,"Joining Fee₹12,500 + GSTRenewal Fee₹12,500 + GST","Joining Fee₹12,500 + GSTRenewal Fee₹12,500 + GST",Best Suited ForTravel | Dining | Shopping,Reward TypeReward Points,"Welcome BenefitsWelcome bonus of 12,500 Reward Points and complimentary Club Marriott membership for the first year offering 20% discounts on dining and stay in the Asia-Pacific region."
,,,,"Joining Fee₹12,500 + GSTRenewal Fee₹12,500 + GST",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BOBCARD Tiara Credit Card,https://cardinsider.com/bank-of-baroda/bobcard-tiara-credit-card/,https://cardinsider.com/go/bankofbaroda,,"Joining Fee₹2,499 + GSTRenewal Fee₹2,499 + GST","Joining Fee₹2,499 + GSTRenewal Fee₹2,499 + GST",Best Suited ForTravel | Shopping | Food,Reward TypeReward Points,"Welcome BenefitsFree Swiggy One (3 Months), FitPass Pro, Amazon Prime/Disney Hotstar and Gaana Plus Memberships"
,,,,"Joining Fee₹2,499 + GSTRenewal Fee₹2,499 + GST",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MakeMyTrip ICICI Bank Credit Card,https://cardinsider.com/icici-bank/makemytrip-icici-bank-credit-card/,https://cardinsider.com/go/icicibank,,Joining Fee₹999 + GSTRenewal Fee₹999 + GST,Joining Fee₹999 + GSTRenewal Fee₹999 + GST,Best Suited ForTravel,Reward TypeReward Points,"Welcome Benefits₹1,000 MMT Voucher and MMTBLACK Gold Tier Membership"
,,,,Joining Fee₹999 + GSTRenewal Fee₹999 + GST,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HSBC Live+ Credit Card – Cashback on Groceries,https://cardinsider.com/hsbc-bank/hsbc-cashback-credit-card/,https://cardinsider.com/go/hsbc,,Joining FeeRs. 999 + GSTRenewal FeeRs. 999 + GST,Joining FeeRs. 999 + GSTRenewal FeeRs. 999 + GST,Best Suited ForShopping | Food,Reward TypeCashback,"Welcome Benefits₹1,000 Cashback on Spending ₹20,000 in the First 30 Days"
,,,,Joining FeeRs. 999 + GSTRenewal FeeRs. 999 + GST,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
